x,y,heading,curvature
0.0553,-9.5500,-1.851007,-0.028111
0.0400,-9.6000,-1.867641,0.000000
0.0247,-9.6500,-1.851007,0.341342
0.0112,-9.7000,-1.832103,0.081590
-0.0020,-9.7500,-1.842630,-0.182002
-0.0167,-9.8000,-1.851007,0.473863
-0.0308,-9.8500,-1.792434,0.579719
-0.0392,-9.9000,-1.792434,-0.252052
-0.0533,-9.9500,-1.818116,-0.111355
-0.0644,-10.0000,-1.804030,-0.583404
-0.0771,-10.0500,-1.876719,-0.992619
-0.0960,-10.1000,-1.909284,-0.254432
-0.1123,-10.1500,-1.904041,-0.103097
-0.1306,-10.2000,-1.920112,-0.206446
-0.1487,-10.2500,-1.926091,-0.298311
-0.1677,-10.3000,-1.951693,-0.097741
-0.1888,-10.3500,-1.936787,0.408928
-0.2061,-10.4000,-1.907673,0.144550
-0.2238,-10.4500,-1.921709,-0.374700
-0.2427,-10.5000,-1.947396,-0.025471
-0.2633,-10.5500,-1.924499,0.067239
-0.2796,-10.6000,-1.940333,-0.366897
-0.3021,-10.6500,-1.963722,-0.221167
-0.3210,-10.7000,-1.964495,-0.317177
-0.3436,-10.7500,-1.997594,-0.593885
-0.3665,-10.8000,-2.029727,-0.789060
-0.3930,-10.8500,-2.084517,-0.532028
-0.4229,-10.9000,-2.092105,0.044766
-0.4525,-10.9535,-2.079443,-0.186800
-0.4810,-11.0041,-2.114335,-0.596848
-0.5143,-11.0557,-2.150134,-0.652766
-0.5476,-11.1059,-2.193726,-0.956253
-0.5864,-11.1562,-2.270855,-1.677260
-0.6255,-11.1984,-2.404210,-2.549284
-0.6698,-11.2319,-2.558934,-3.053891
-0.7137,-11.2565,-2.726294,-3.341133
-0.7617,-11.2724,-2.893335,-3.308462
-0.8078,-11.2804,-3.046732,-2.666903
-0.8559,-11.2814,-3.138383,-1.708329
-0.9065,-11.2807,3.068278,-1.561548
-0.9600,-11.2738,2.977862,-1.188100
-1.0100,-11.2636,2.942023,-0.625376
-1.0600,-11.2535,2.915223,-0.121432
-1.1100,-11.2405,2.929449,1.052599
-1.1600,-11.2320,3.024484,1.458296
-1.2100,-11.2288,3.075175,-0.089900
-1.2600,-11.2253,3.015567,-1.285652
-1.3100,-11.2161,2.945938,-0.845612
-1.3600,-11.2055,2.928584,-0.168998
-1.4100,-11.1945,2.928584,0.498543
-1.4600,-11.1839,2.980115,0.917965
-1.5100,-11.1782,3.021361,0.757113
-1.5600,-11.1718,3.056280,-0.008951
-1.6100,-11.1696,3.020469,-1.062270
-1.6600,-11.1596,2.949860,-0.723427
-1.7100,-11.1502,2.945938,-0.333120
-1.7600,-11.1398,2.916083,-0.745781
-1.8100,-11.1273,2.869759,-1.278055
-1.8600,-11.1119,2.785105,-1.653077
-1.9100,-11.0900,2.700164,-1.164660
-1.9671,-11.0614,2.642955,-0.982734
-2.0218,-11.0292,2.569667,-1.271486
-2.0721,-10.9938,2.481775,-1.393187
-2.1164,-10.9557,2.403196,-1.509942
-2.1572,-10.9163,2.303008,-2.707396
-2.1872,-10.8770,2.107297,-4.256800
-2.2068,-10.8329,1.894256,-4.591499
-2.2165,-10.7896,1.689711,-4.190779
-2.2176,-10.7428,1.515874,-3.332650
-2.2115,-10.6983,1.383126,-2.230764
-2.2004,-10.6522,1.312858,-0.786631
-2.1867,-10.6041,1.303187,0.751456
-2.1733,-10.5535,1.386472,1.796164
-2.1672,-10.5000,1.498806,1.099319
-2.1658,-10.4500,1.498524,-0.442877
-2.1600,-10.4000,1.454580,-0.345844
-2.1542,-10.3500,1.463517,0.355781
-2.1492,-10.3000,1.490427,0.031368
-2.1461,-10.2500,1.466650,-0.324974
-2.1388,-10.2000,1.457706,-0.031071
-2.1348,-10.1500,1.463517,-0.040025
-2.1280,-10.1000,1.453688,-0.305843
-2.1230,-10.0500,1.432766,-0.822233
-2.1141,-10.0000,1.371226,-0.605025
-2.1028,-9.9500,1.370357,-0.038326
-2.0938,-9.9000,1.367317,-0.369797
-2.0821,-9.8500,1.332857,-0.643726
-2.0695,-9.8000,1.301063,-0.891343
-2.0545,-9.7500,1.241193,-1.092341
-2.0353,-9.7000,1.185618,-0.720272
-2.0139,-9.6500,1.162524,-0.139933
-1.9921,-9.6000,1.170172,0.699505
-1.9716,-9.5500,1.240383,1.420777
-1.9578,-9.5000,1.320501,0.740683
-1.9460,-9.4500,1.314988,-0.045071
-1.9316,-9.4000,1.315835,0.036901
-1.9200,-9.3500,1.318803,0.036986
-1.9059,-9.3000,1.319652,0.904689
-1.8943,-9.2500,1.414171,1.212279
-1.8901,-9.2000,1.440765,-0.167626
-1.8812,-9.1500,1.397441,-0.250817
-1.8726,-9.1000,1.415054,-0.056713
-1.8655,-9.0500,1.391739,-0.901056
-1.8545,-9.0000,1.324328,-0.532371
-1.8404,-8.9500,1.335850,0.944790
-1.8305,-8.9000,1.423013,1.838968
-1.8255,-8.8500,1.521515,1.032421
-1.8256,-8.8000,1.525578,0.081198
-1.8210,-8.7500,1.529643,1.033561
-1.8215,-8.7000,1.629101,1.890766
-1.8268,-8.6500,1.718580,1.663828
-1.8364,-8.6000,1.797166,1.097071
-1.8498,-8.5500,1.832103,0.228452
-1.8631,-8.5000,1.821091,-0.098758
-1.8754,-8.4500,1.821941,0.090469
-1.8888,-8.4000,1.830413,-0.081700
-1.9019,-8.3500,1.813431,-0.579427
-1.9135,-8.3000,1.770366,-0.788236
-1.9222,-8.2500,1.733155,-0.347893
